playerID,year,stint,tmID,TotalGP,Points,TotalMinutes,TotaloRebounds,TotaldRebounds,TotalRebounds,TotalAssists,TotalSteals,TotalBlocks,TotalTurnovers,TotalPF,TotalfgAttempted,TotalfgMade,TotalftAttempted,TotalftMade,TotalthreeAttempted,TotalthreeMade,TotalGS,TotalDQ
ngoyibe01w,9,0,IND,32,83,228,20,34,54,7,6,7,32,45,63,30,32,23,0,0,1,0
nieuwma01w,6,0,LAS,7,4,16,2,0,2,0,0,0,2,5,3,2,0,0,0,0,0,0
nnamach01w,9,0,ATL,12,16,84,6,6,12,2,5,0,4,11,26,6,3,2,11,2,0,0
nolande01w,2,0,DET,27,192,545,16,37,53,30,17,6,35,43,194,64,53,43,73,21,0,0
nolande01w,3,0,DET,32,277,804,17,70,87,62,27,12,61,74,248,103,36,29,114,42,32,1
nolande01w,4,0,DET,40,520,1211,16,120,136,104,51,16,82,86,408,180,112,91,161,69,40,0
nolande01w,5,0,DET,37,518,1257,32,116,148,119,71,12,100,80,480,184,139,113,127,37,37,1
nolande01w,6,0,DET,35,561,1292,32,132,164,128,57,16,106,68,499,199,167,134,94,29,35,0
nolande01w,7,0,DET,44,646,1445,40,154,194,163,63,13,113,98,573,244,130,110,134,48,44,1
nolande01w,8,0,DET,45,761,1587,45,172,217,177,58,15,103,98,668,301,109,92,164,67,45,0
nolande01w,9,0,DET,43,696,1493,34,140,174,176,61,13,97,92,621,272,106,94,159,58,43,1
nolande01w,10,0,DET,38,667,1303,41,108,149,132,53,12,91,109,623,253,139,112,151,49,38,1
nygaava01w,1,0,POR,32,253,843,50,71,121,30,17,5,38,98,209,91,54,41,90,30,28,2
nygaava01w,2,0,POR,31,76,259,13,22,35,10,6,2,14,48,72,28,3,1,49,19,0,0
nygaava01w,3,0,MIA,29,120,443,27,40,67,9,11,1,13,49,101,43,13,10,64,24,22,0
nygaava01w,4,0,LAS,16,49,192,14,10,24,5,4,1,5,23,41,19,4,3,19,8,3,1
