year,tmID,confID,playoff,o_oreb,o_dreb,o_pf,o_stl,o_blk,o_pts,d_oreb,d_dreb,d_asts,d_pf,d_to,d_blk,d_pts,min,attend,RoundReached,winPercentage,homeWinPercentage,awayWinPercentage,of_goal,of_3pt,of_throw,of_reb,of_assist,df_goal,df_3pt,df_throw,df_reb,df_steal
6,IND,EA,1,341,671,668,336,95,2170,279,711,435,644,558,113,2133,6925,142494,2,0.618,0.824,0.412,0.4,0.32,0.76,1012,1.03,0.43,0.34,0.72,990,234
7,IND,EA,1,339,755,606,354,93,2435,288,773,507,685,617,105,2316,6850,122768,1,0.618,0.706,0.529,0.41,0.31,0.77,1094,0.95,0.43,0.31,0.74,1061,259
8,IND,EA,1,341,812,646,308,136,2480,369,795,475,663,610,114,2370,6875,133915,2,0.618,0.706,0.529,0.42,0.34,0.77,1153,0.87,0.4,0.33,0.74,1164,280
9,IND,EA,1,349,778,727,324,165,2473,338,833,477,659,608,130,2457,6950,130941,1,0.5,0.647,0.353,0.4,0.34,0.75,1127,0.85,0.42,0.33,0.76,1171,294
10,IND,EA,1,342,780,692,373,117,2606,318,849,498,700,638,116,2501,6925,134964,3,0.647,0.824,0.471,0.4,0.33,0.82,1122,0.99,0.43,0.32,0.76,1167,271
1,LAS,WE,1,308,783,705,271,156,2417,300,678,445,650,485,105,2169,6450,105005,2,0.875,0.938,0.812,0.44,0.33,0.79,1091,1.26,0.4,0.3,0.72,978,243
2,LAS,WE,1,350,755,616,281,138,2441,294,627,538,591,453,114,2166,6475,148446,4,0.875,1.0,0.75,0.45,0.37,0.76,1105,1.36,0.39,0.32,0.76,921,234
3,LAS,WE,1,329,814,664,257,161,2452,314,645,508,623,453,111,2235,6475,186410,4,0.781,0.75,0.812,0.45,0.38,0.74,1143,1.13,0.39,0.31,0.74,959,275
4,LAS,WE,1,336,813,682,242,161,2499,316,789,572,654,468,127,2432,6900,157934,3,0.706,0.647,0.765,0.42,0.33,0.79,1149,1.25,0.4,0.36,0.72,1105,241
5,LAS,WE,1,312,809,731,262,148,2495,339,727,532,704,523,114,2361,6975,177269,1,0.735,0.882,0.588,0.44,0.38,0.73,1121,1.18,0.39,0.34,0.73,1066,288
6,LAS,WE,1,321,683,737,264,136,2326,332,709,567,654,544,115,2345,6800,150521,1,0.5,0.647,0.353,0.43,0.32,0.72,1004,1.12,0.42,0.35,0.74,1041,247
7,LAS,WE,1,350,852,679,296,129,2575,336,746,565,636,556,128,2476,6825,141282,2,0.735,0.882,0.588,0.44,0.29,0.74,1202,1.14,0.4,0.34,0.74,1082,284
8,LAS,WE,0,356,783,732,245,107,2533,343,836,616,605,550,137,2708,6900,147810,0,0.294,0.294,0.294,0.41,0.35,0.79,1139,0.97,0.43,0.36,0.76,1179,290
9,LAS,WE,1,386,896,713,251,216,2598,359,768,513,717,523,141,2523,7000,161639,2,0.588,0.706,0.471,0.42,0.31,0.75,1282,1.01,0.38,0.34,0.75,1127,303
